"","Title","Abstract"
"33","Molecular mechanisms underlying the anticancer activities of licorice flavonoids.","                 Label=""ETHNOPHARMACOLOGICAL RELEVANCE"" NlmCategory=""BACKGROUND"":Licorice has been commonly used in traditional Chinese medicine for treatment of gastric, liver, and respiratory disease conditions for more than two thousand years. It is a major component of several Chinese patent medicines certificated by National Medical Products Administration that possess great anticancer activities.                 Label=""AIM OF THE STUDY"" NlmCategory=""OBJECTIVE"":To comprehensively summarize the anticancer activities of licorice flavonoids, explain the underlying molecular mechanisms, assess their therapeutic potentials and side-effects.                 Label=""METHODS"" NlmCategory=""METHODS"":PubMed, Research Gate, Web of Science, Google Scholar, academic journals, and Science Direct were used as information sources, with the key words of &quot;anticancer&quot;, &quot;licorice&quot;, &quot;flavonoids&quot;, and their combinations, mainly from 2000 to 2019.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Sixteen licorice flavonoids are found to possess anticancer activities. These flavonoids inhibit cancer cells through blocking cell cycle and regulating multiple signaling pathways. The major pathways targeted by licorice flavonoids include: the MAPK pathway, PI3K/AKT pathway, NF-κB pathway, death receptor - dependent extrinsic signaling pathway, and mitochondrial apoptotic pathway.                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":Licorice flavonoids are a group of versatile molecules that have pleiotropic effects on cell growth, survival and cell signaling. Many of the flavonoids possess inhibitory activities toward cancer cell growth and hence have a great therapeutic potential in cancer treatment. However, additional preclinical studies are still needed to assess their in vivo efficacy and possible toxicities. It is also imperative to evaluate the effects of licorice flavonoids on the metabolism of other drugs and explore the potential synergistic mechanism. "
"34","Three bufadienolides induce cell death in the human lung cancer cell line CL1-5 mainly through autophagy.","The effects of 3 bufadienolides, namely kalantuboside B, kalantuboside A, and bryotoxin C, isolated from Kalanchoe tubiflora (Harvey) were evaluated and characterized in CL1-5 highly metastatic human lung cancer cells. In contrast to their apoptosis-promoting activity in other cancer cells, these bufadienolides only slight or did not induce apoptosis in CL1-5 cancer cells. Instead, they activated an autophagy pathway, as indicated by increased autophagosome formation. Autophagy induced by these bufadienolides was demonstrated to be linked to the down-regulation of p-mTOR and the up-regulation of LC3-II, ATG5, ATG7, and Beclin-1. Our findings revealed an autophagy as the alternative mechanism of drug action by bufadienolides in CL1-5 lung cancer cells and provided evidence that bufadienolides are a potential therapeutic strategy for highly metastatic human lung cancer."
"35","Identification of 2-substituted pyrrolo[1,2-b]pyridazine derivatives as new PARP-1 inhibitors.","A library of new 2-substituted pyrrolo[1,2-b]pyridazine derivatives were rapidly assembled and identified as PARP inhibitors. Structure-activity relationship for this class of inhibitor resulted in the discovery of most potent compounds 15a and 15b that exhibited about 29- and 5- fold selective activity against PARP-1 over PARP-2 respectively. The antiproliferative activity of the as-prepared compounds were demonstrated by further celluar assay in BRCA2-deficient V-C8 and BRCA1-deficient MDA-MB-436 cell lines, displaying that compound 15b could robustly reduce the corresponding cell proliferation and growth with CC50s of 340 and 106 nM respectively. The PK property of 15b was also investigated here."
"36","Sample size re-estimation in adaptive enrichment design.","Clinical trial participants are often heterogeneous, which is a fundamental problem in the rapidly developing field of precision medicine. Participants heterogeneity causes considerable difficulty in the current phase III trial designs. Adaptive enrichment designs provide a flexible and intuitive solution. At the interim analysis, we enrich the subgroup of trial participants who have a higher likelihood to benefit from the new treatment. However, it is critical to control the level of the test size and maintain adequate power after enrichment of certain subgroup of participants. We develop two adaptive enrichment strategies with sample size re-estimation and verify their feasibility and practicability through extensive simulations and sensitivity analyses. The simulation studies show that the proposed methods can control the overall type I error rate and exhibit competitive improvement in terms of statistical power and expected sample size. The proposed designs are exemplified with a real trial application."
"37","Anaerobic bacterial communities associated with oral carcinoma: Intratumoral, surface-biofilm and salivary microbiota.","It was estimated that more than 700 bacterial species inhabit the oral cavity of healthy humans. Anaerobes comprise a significant fraction of the oral bacteriome and play an important role in the formation of multi-species biofilms attached to various anatomical sites. Bacterial biofilms are also associated with pathologic laesions of the oral cavity, including oral squamous cell carcinoma (OSCC), and distinct oral taxa could also be detected within the tumors, i.e. in deep biopsy samples. These observations suggested that certain oral bacteria or oral bacterial communities may play a causative role in oral carcinogenesis, in addition to the well characterized risk factors of oral cancer. Alternatively, it was also proposed that a subset of oral bacteria may have a growth advantage in the unique microenvironment of OSCC. Recently, a series of studies analysed the OSCC-associated bacterial communities using metataxonomic, metagenomic and metatranscriptomic approaches. This review outlines the major differences between the community structure of microbiota in tumor biopsy, surface-biofilm and salivary or oral wash samples collected from OSCC patients, compared to corresponding samples from control persons. A special emphasis is given to the anaerobic bacteria Fusobacterium nucleatum and Fusobacterium periodonticum that were characterised repeatedly as &quot;OSCC-associated&quot; in independent studies. Predicted microbial functions and relevant in vivo experimental models of oral carcinogenesis will also be summarized."
"38","Application of multiomics sequencing and advances in the molecular mechanisms of pancreatic neuroendocrine neoplasms.","The incidence of pancreatic neuroendocrine neoplasms (PanNENs) has gradually increased. PanNENs comprise two subtypes with different clinical manifestations and molecular mechanisms: functional PanNENs and nonfunctional PanNENs. Excessive hormones and tumor progression severely affect the quality of life of patients or are even life threatening. However, the molecular mechanisms of hormone secretion and tumor progression in PanNENs have not yet been fully elucidated. At present, advancements in sequencing technologies have led to the exploration of new biological markers and an advanced understanding of molecular mechanisms in PanNENs. Multiomics sequencing could reveal differences and similarities in molecular features in different fields. However, sequencing studies of PanNENs are booming and should be summarized to integrate the current findings. In this review, we summarize the current status of multiomics sequencing in PanNENs to further guide its application. We explore mainly advancements in the genome, transcriptome, and DNA methylation fields. In addition, the cell origin of PanNENs, which has been a hot issue in sequencing research, is described in multiple fields."
"39","Sox9/INHBB axis-mediated crosstalk between the hepatoma and hepatic stellate cells promotes the metastasis of hepatocellular carcinoma.","The activation of hepatic stellate cells (HSCs) and liver fibrosis in the peri-tumoral tissue contributes to the progression of hepatocellular carcinoma (HCC). However, the mechanisms underlying the crosstalk between hepatoma and peri-tumoral HSCs remain elusive. We found that the Sox9/INHBB axis is upregulated in HCC and is associated with tumor metastasis. Using gain- and loss-of-function approaches, we revealed that the Sox9/INHBB axis promotes the growth and metastasis of an orthotopic HCC tumor by activating the peri-tumoral HSCs. Mechanistically, Sox9 induces INHBB expression by directly binding to its enhancer, thus aiding in the secretion of activin B from hepatoma cells, and in turn, promoting the activation of the surrounding HSCs through activin B/Smad signaling. Furthermore, inhibition of activin B/Smad singaling attenuates the fibrotic response in the peri-tumoral tissue and decreases the incidence of metastasis. Finally, clinical analyses indicated a positive correlation between Sox9 and INHBB expression in HCC specimens and identified the Sox9/INHBB axis as a positive regulator of liver fibrosis. In conclusion, Sox9/INHBB axis-mediated crosstalk between hepatoma cells and HSCs induces a fertile environment favoring HCC metastasis, thereby exhibiting as a potential therapeutic target."
"40","Pyruvate kinase M2 (PKM2) in cancer and cancer therapeutics.","Pyruvate kinase M2 (PKM2), a key rate-limiting enzyme of glycolysis, is a critical regulator in tumor metabolism. PKM2 has been demonstrated to overexpressed in various cancers and promoted proliferation and metastasis of tumor cells. The errant expression of PKM2 has inspired people to investigate the function of PKM2 and the therapeutic potential in cancer. In addition, some studies have shown that the upregulation of PKM2 in tumor tissues is associated with the altered expression of lncRNAs and the poor survival. Therefore, researchers have begun to unravel the specific molecular mechanisms of lncRNA-mediated PKM2 expression in cancer metabolism. As the tumor microenvironment (TME) is essential in tumor development, it is necessary to identify the role of PKM2 in TME. In this review, we will introduce the role of PKM2 in different cancers as well as TME, and summarize the molecular mechanism of PKM2-related lncRNAs in cancer metabolism. We expect that this work will lead to a better understanding of the molecular mechanisms of PKM2 that may help in developing therapeutic strategies in clinic for researchers."
"41","Worldwide prevalence of emerging parasite Blastocystis in immunocompromised patients: A systematic review and meta-analysis.","                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":Blastocystis is one of the most common pathogens of the human intestine, caused by an emerging parasite, which can lead to severe symptoms and even death in immunocompromised patients. We aimed to determine the global prevalence of Blastocystosis infection in people with immunodeficiency. A systematic literature search was conducted on Web of Science, Scopus, Google scholar, Science Direct and MEDLINE databases to select all observational studies reporting the prevalence of Blastocystosis infection in Worldwide, based on different diagnostic methods in immunocompromised patients of any age and published from inception to February 2019. Pooled estimates and 95% confidence intervals (95% CIs) were calculated using random effects models and in addition, the I2 statistic was calculated. The geographic distribution of studies was evaluated and the diagnosis of Blastocystis was compared by various techniques. Electronic databases were reviewed for Blastocystosis infection in HIV/AIDS, cancer and other immunocompromised patients, and meta-analyses were conducted to calculate the overall estimated prevalence. Total68 eligible studies were included. The estimated pooled prevalence rate of Blastocystosis infection in immunocompromised patients was overall 10% (95% CI, 7-13%; I2 96.04%) (P &lt; 0.001), of whom 21% [18-25] were in Australia, 12% [4-24] in America, 11% [6-17] in Europe and 10% [5-15], 7% [3-13] in Asia and Africa, respectively. It was calculated that the estimated pooled prevalence rate of Blastocystosis infection in immunocompromised patients was overall 10% and the prevalence estimates ranged from 0.44 to 72.39. Also, overall the prevalence of parasites co-infection in immunocompromised patients was detected as 0.024%. Our finding showed that immunocompromised people show a high prevalence of Blastocystosis infection compared to the control population. Adequate information on the prevalence rate is still missing from many countries. However, current information underscore that Blastocystis should not be neglected. "
"42","Genetic variant of RXR involved in the vitamin D metabolic pathway was linked to HCV infection outcomes among a high-risk Chinese population.","Genetic variation of related genes in Vitamin D (VD) metabolic pathway played an important role in antiviral immune response and chronic hepatitis C virus (HCV) infection. Retinoid X receptor (RXR) is one of the key genes in the metabolism pathway of VD. This study aims to investigate the effect of single nucleotide polymorphisms (SNPs) in RXR on the outcomes of HCV infection. Three SNPs (RXRɑ-rs4842194, rs1045570 and RXRβ-rs2076310) were genotyped using Sequenom MassARRAY platform in 515 spontaneous clearance subjects, 830 persistent infection subjects, and 1062 uninfected subjects. Multivariate stepwise regression analyses was used to identify the prediction factors for HCV infection outcomes. The USCS Brower and RNAfold web serves were performed to further explore the potential biological functions of positive SNPs. The results of logistic regression analysis after adjusting for age, gender and types of high-risk population showed that subjects with RXRβ rs2076310-T (recessive model: adjusted OR = 1.598, 95%CI = 1.126-2.267, P = 0.009; additive model: adjusted OR = 1.196, 95%CI = 1.011-1.416, P = 0.037) had a significantly increased possibility of HCV infection chronicity. Rs2076310, age, types of high-risk population and aspartate aminotransferase were independent predictors of chronic HCV infection (P &lt; 0.05). And the area under the receiver operating characteristic curve of combined effects of these factors was 0.679. Bioinformatics analysis indicated that rs2076310 could affect the gene expression level by affecting the transcriptional regulatory activity of the corresponding gene region. These findings indicated that genetic variation of RXRβ was associated with the risk of HCV infection chronicity among a high-risk Chinese population."
"43","Minimal residual disease monitoring using a 3'ALK universal probe assay in ALK-positive anaplastic large cell lymphoma: ddPCR, an attractive alternative method to real-time quantitative PCR.","In ALK-positive anaplastic large cell lymphomas, positive qualitative PCR for NPM1-ALK in peripheral blood and/or bone marrow at diagnosis and during treatment are associated with a higher risk of treatment failure. Real-time quantitative PCR allows identification of very high risk patients. However, this latter technique initially designed for patients with lymphomas carrying the most frequent NPM1-ALK translocation necessitates calibration curves, limiting inter-laboratory reproducibility. We designed an ALK universal quantitative PCR based on 3'ALK transcript amplification to allow the detection of all ALK fusion transcripts. We validate the absolute concordance of 3'ALK quantitative PCR results with the routine NPM1-ALK qualitative and quantitative PCR on 46 samples. The universality of ALK fusion transcript detection was also validated on TPM3-, ALO17- and ATIC-ALK-positive samples, and EML4-ALK-positive cell line. Then, we show that digital droplet PCR using 3'ALK universal probe gives highly concordant results with 3'ALK universal quantitative PCR. A major benefit of digital droplet PCR is a reduced experimental set-up compared with quantitative PCR, without generation of standard curves, leading to a reliable protocol for multilaboratory validation, in multicenter clinical trials essential for this rare pathology. Our ALK universal method could be used for the screening of ALK fusion transcripts in liquid biopsy of other ALK positive tumors, including non-small cell lung carcinomas."
"44","Two Questions about the Design of Cluster Randomized Trials: A Tutorial.","This is a short tutorial on two key questions that pertain to cluster randomized trials (CRTs): (1) Should I perform a CRT? and (2) If so, how do I derive the sample size? In summary, a CRT is the best option when you &quot;must&quot; (e.g., the intervention can only be administered to a group) or you &quot;should&quot; (e.g., because of issues such as feasibility and contamination). CRTs are less statistically efficient and usually more logistically complex than individually randomized trials, and so reviewing the rationale for their use is critical. The most straightforward approach to the sample size calculation is to first perform the calculation as if the design were randomized at the level of the patient, and then to inflate this sample size by multiplying by the &quot;design effect&quot;, which quantifies the degree to which responses within a cluster are similar to one another. Although trials with large numbers of small clusters are more statistically efficient than those with a few large clusters, trials with large clusters can be more feasible. Also, if results are to be compared across individual sites, then sufficient sample size will be required to attain adequate precision within each site. Sample size calculations should include sensitivity analyses, as inputs from the literature can lack precision. Collaborating with a statistician is essential. To illustrate these points, we describe an ongoing CRT testing a mobile-based app to systematically engage families of intensive care unit patients and help intensive care unit clinicians deliver needs-targeted palliative care."
"45","Development of a Novel Communication Liaison Program to Support COVID-19 Patients and their Families.","In the Spring of 2020, our hospital faced a surge of critically ill COVID-19 patients, with intensive care unit (ICU) occupancy peaking at 204% of the baseline maximum capacity. In anticipation of this surge, we developed a Remote Communication Liaison Program (RCLP) to help the ICU and palliative care teams support families of critically ill patients. In just nine days from inception until implementation, we recruited and prepared ambulatory specialty providers to serve in this role effectively, despite minimal prior critical care experience. We report here the primary elements needed to reproduce and scale this program in other hospitals facing similar ICU surges, including a checklist for replication (Appendix A). Keys to success include strong logistical support, clinical reference material designed for rapid evolution, and a liaison team structure with peer coaching."
"46","Novel regulator role of CIL-102 in the epigenetic modification of TNFR1/TRAIL to induce cell apoptosis in human gastric cancer.","CIL-102 (1-[4-(furo[2,3-b]quinolin-4-ylamino)phenyl]ethanone) is a major active agent and an alkaloid derivative of Camptotheca acuminata, which has valuable biological properties, including anti-tumorigenic activity. However, the molecular mechanisms of CIL-102 related to inductive apoptosis in human gastric cancer remain unclear. By using diphenyltetrazolium bromide (MTT), annexin-V-fluorescein-isothiocyanate (FITC)/propidium iodide staining and a 2',7' -dichlorofluorescin diacetate (DCFDA), a Fluo-3 fluorescence staining assay, the cell death and cell viability in gastric cancer cells and an in vivo xenograft mouse model, with or without the addition of CIL-102, were measured, respectively. Furthermore, signaling pathways and apoptotic molecules were also detected by western blots and an immunohistochemical assay. Our results demonstrated that CIL-102 treatment significantly induced the cell apoptosis of gastric cancer cells, along with increased ROS production and increased intracellular Ca2+ levels. In addition, through the inactivation of CDK1/cyclin B1, CIL-102 treatment induced the cell cycle G2/M arrest of gastric cancer cells. Moreover, our data revealed that multiple signaling pathways were involved in the H3K4 trimethylation of TNFR1 and TRAIL proteins by CIL-102, including ROS-derived and JNK/mTOR/p300 pathways in gastric cancer AGS cells. The CIL-102 treatment also consistently inhibited tumor growth and increased tumor apoptosis, as measured by TUNEL assay in an in vivo xenograft mouse model. An immunohistochemical analysis revealed that the upregulation of the TNFR1 and TRAIL proteins and the downregulation of PCNA and CDK1 proteins were found in the CIL-102-treated gastric cancer xenograft mouse model, compared to that of the saline control. Together, this study sheds light on the novel mechanism associated with CIL-102 for inducing gastric cancer apoptosis."
"47","Bidirectional and dynamic interaction between the microbiota and therapeutic resistance in pancreatic cancer.","Pancreatic ductal adenocarcinoma is one of the most lethal malignancies and is known for its high resistance and low response to treatment. Cancer treatments can reshape the microbiota and in turn, the microbiota influences the therapeutic efficacy by regulating immune response and metabolism. This crosstalk is bidirectional, heterogeneous, and dynamic. In this review, we elaborated on the interactions between the microbiota and therapeutic resistance in pancreatic ductal adenocarcinoma. Regulating the microbiota in pancreatic tumor microenvironment may not only generate direct anti-cancer but also synergistic effects with other treatments, providing new directions in cancer therapy."
"48","Neurological and vascular complications of primary and secondary brain tumours: EANO-ESMO Clinical Practice Guidelines for prophylaxis, diagnosis, treatment and follow-up.",""
"49","Alpelisib Plus Fulvestrant for PIK3CA-Mutated, Hormone Receptor-Positive, Human Epidermal Growth Factor Receptor-2-Negative Advanced Breast Cancer: Final Overall Survival Results From SOLAR-1.","                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":Activation of the phosphatidylinositol-3-kinase (PI3K) pathway via PIK3CA mutations occurs in 28%-46% of hormone receptor-positive (HR+), human epidermal growth factor receptor-2-negative (HER2-) advanced breast cancers (ABC) and is associated with poor prognosis. The SOLAR-1 trial showed that the addition of alpelisib to fulvestrant treatment provided statistically significant and clinically meaningful progression-free survival (PFS) benefit in PIK3CA-mutated, HR+, HER2- ABC.                 Label=""PATIENTS AND METHODS"" NlmCategory=""METHODS"":Men and postmenopausal women with HR+, HER2- ABC whose disease progressed on or after aromatase inhibitor (AI) were randomized 1:1 to receive alpelisib (300 mg/day) plus fulvestrant (500 mg every 28 days and once on Day 15) or placebo plus fulvestrant. Overall survival (OS) in the PIK3CA-mutant cohort was evaluated by Kaplan-Meier methodology and a 1-sided stratified log-rank test was performed with an O'Brien-Fleming efficacy boundary of P≤0.0161.                 Label=""RESULTS"" NlmCategory=""RESULTS"":In the PIK3CA-mutated cohort (n=341), median OS (95% confidence interval [CI]) was 39.3 months (34.1-44.9) for alpelisib-fulvestrant and 31.4 months (26.8-41.3) for placebo-fulvestrant (hazard ratio [HR] = 0.86 [95% CI, 0.64-1.15; P=0.15]). Overall survival results did not cross the prespecified efficacy boundary. Median OS (95% CI) in patients with lung and/or liver metastases was 37.2 months (28.7-43.6) and 22.8 months (19.0-26.8) in the alpelisib-fulvestrant and placebo-fulvestrant arms, respectively (HR=0.68 [0.46-1.00]). Median times to chemotherapy (95% CI) for the alpelisib-fulvestrant and placebo-fulvestrant arms were 23.3 months (15.2-28.4) and 14.8 months (10.5-22.6), respectively (HR=0.72 [0.54-0.95]). No new safety signals were observed with longer follow-up.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":Although the analysis did not cross the prespecified boundary for statistical significance, there was a 7.9-month numeric improvement in median OS when alpelisib was added to fulvestrant treatment for patients with PIK3CA-mutated, HR+, HER2- ABC. Overall, these results further support the statistically significant prolongation of PFS observed with alpelisib plus fulvestrant in this population, which has a poor prognosis due to a PIK3CA mutation. "
"50","Cancer cell metabolism: rewiring the mitochondrial hub.","To adapt to tumoral environment conditions or even to escape chemotherapy, cells rapidly reprogram their metabolism to handle adversities and survive. Given the rapid rise of studies uncovering novel insights and therapeutic opportunities based on the role of mitochondria in tumor metabolic programing and therapeutics, this review summarizes most significant developments in the field. Taking in mind the key role of mitochondria on carcinogenesis and tumor progression due to their involvement on tumor plasticity, metabolic remodeling, and signaling re-wiring, those organelles are also potential therapeutic targets. Among other topics, we address the recent data intersecting mitochondria as of prognostic value and staging in cancer, by mitochondrial DNA (mtDNA) determination, and current inhibitors developments targeting mtDNA, OXPHOS machinery and metabolic pathways. We contribute for a holistic view of the role of mitochondria metabolism and directed therapeutics to understand tumor metabolism, to circumvent therapy resistance, and to control tumor development."
"51","Capping protein regulator and myosin 1 linker 3 regulates transcription of key cytokines in activated phagocytic cells.","We have recently reported that capping protein regulator and myosin 1 linker 3 (CARMIL3), first identified as an oncofetal-like gene, is required for metastasis of breast and prostate cancer cells via regulating the actin cytoskeletal dynamics near the plasma membrane. Here, we demonstrate a novel function of CARMIL3 as an essential regulator of the transcription of several key proinflammatory cytokines in macrophages engulfing apoptotic cells and/or exposed to lipopolysaccharides (LPS). CARMIL3-deficient macrophages expressed strongly abrogated levels of interleukin (IL)-6, TNF-α, IL-1β and IL-23 in response to LPS, whereas IL-10 expression was enhanced. An RNA-seq analysis of CARMIL3-deficient and wild-type (WT) RAW264.7 cells stimulated with LPS revealed many differentially expressed genes, impacting several important inflammatory pathways. At the molecular level, CARMIL3 deficiency caused a strong impairment in LPS-activated nuclear factor-κB (NF-κB) signaling with decreased IKKα/β and IκBα phosphorylation and severely reduced p65 protein levels. This study uncovers a crucial role of CARMIL3 in impacting the balance between inflammation and tissue homeostasis via regulating major cytokines production in phagocytic cells."
"52","Assay design and development strategies for finding Hsp90 inhibitors and their role in human diseases.","Heat shock protein 90 (Hsp90) is a molecular chaperone that facilitates the maturation of its client proteins including protein kinases, transcription factors, and steroid hormone receptors which are structurally and functionally diverse. These client proteins are involved in various cellular signaling pathways, and Hsp90 is implicated in various human diseases including cancer, inflammation, and diseases associated with protein misfolding; thus making Hsp90 a promising target for drug discovery. Some of its client proteins are well-known cancer targets. Instead of targeting these client proteins individually, however, targeting Hsp90 is more practical for cancer drug development. Efforts have been invested in recognizing potential drugs for clinical use that inhibit Hsp90 activity and result in the prevention of Hsp90 client maturation and dampening of subsequent signaling cascades. Here, we discuss current assays and technologies used to find and characterize Hsp90 inhibitors that include biophysical, biochemical, cell-based assays and computational modeling. This review highlights recent discoveries that N-terminal isoform-selective compounds and inhibitors that target the Hsp90 C-terminus that may offer the potential to overcome some of the detriments observed with pan Hsp90 inhibitors. The tools and assays summarized in this review should be used to develop Hsp90-targeting drugs with high specificity, potency, and drug-like properties that may prove immensely useful in the clinic."
"53","Sirtuins' control of autophagy and mitophagy in cancer.","Mammalian cells use a specialized and complex machinery for the removal of altered proteins or dysfunctional organelles. Such machinery is part of a mechanism called autophagy. Moreover, when autophagy is specifically employed for the removal of dysfunctional mitochondria, it is called mitophagy. Autophagy and mitophagy have important physiological implications and roles associated with cellular differentiation, resistance to stresses such as starvation, metabolic control and adaptation to the changing microenvironment. Unfortunately, transformed cancer cells often exploit autophagy and mitophagy for sustaining their metabolic reprogramming and growth to a point that autophagy and mitophagy are recognized as promising targets for ongoing and future antitumoral therapies. Sirtuins are NAD+ dependent deacylases with a fundamental role in sensing and modulating cellular response to external stresses such as nutrients availability and therefore involved in aging, oxidative stress control, inflammation, differentiation and cancer. It is clear, therefore, that autophagy, mitophagy and sirtuins share many common aspects to a point that, recently, sirtuins have been linked to the control of autophagy and mitophagy. In the context of cancer, such a control is obtained by modulating transcription of autophagy and mitophagy genes, by post translational modification of proteins belonging to the autophagy and mitophagy machinery, by controlling ROS production or major metabolic pathways such as Krebs cycle or glutamine metabolism. The present review details current knowledge on the role of sirtuins, autophagy and mitophagy in cancer to then proceed to discuss how sirtuins can control autophagy and mitophagy in cancer cells. Finally, we discuss sirtuins role in the context of tumor progression and metastasis indicating glutamine metabolism as an example of how a concerted activation and/or inhibition of sirtuins in cancer cells can control autophagy and mitophagy by impinging on the metabolism of this fundamental amino acid."
"55","Clinicopathological features and prognostic analysis of 247 small cell lung cancer with limited stage after surgery.","                 Label=""OBJECTIVE"" NlmCategory=""OBJECTIVE"":To analyze the clinical and pathological characteristics of patients with small cell lung cancer (SCLC) after curative surgery, and to explore prognostic factors for disease-free survival (DFS) and overall survival (OS).                 Label=""METHODS"" NlmCategory=""METHODS"":Clinical data of 247 patients were collected and clinicopathological features were retrieved, including gender, age, smoking history, tumor location, stage (AJCC 7th), and distant metastasis. Histopathological features were also reviewed by two pathologists, including pleural invasion, bronchial invasion, nerve invasion, spread though air spaces (STAS), tumor thrombosis, major cell shape (round Vs. spindle), tumor necrosis, stromal fibrosis and tumor-infiltrating lymphocytes (TILs). Immunohistochemical staining of neuroendocrine markers (CD56, Synapsin, ChromograninA) was also reviewed. All patients were followed up for recurrence, distant metastasis and survival. Kaplan-Meier curve and log-rank test were applied for survival analysis.                 Label=""RESULTS"" NlmCategory=""RESULTS"":The median DFS was 98 months, and the 1-year, 3-year and 5-year DFS rates were 70.9%, 54.4% and 52.2%, respectively. The median OS was not reached, and the 1-year, 3-year, and 5-year survival rates were 94.2%, 72.3%, and 65.4%, respectively. Univariate analysis revealed clinicopathological features with DFS (gender, smoking history, primary tumor, regional lymph node metastasis, major cell shape and TILs) and OS (age, stage, distant metastasis, regional lymph node metastasis, nerve invasion, major cell shape and TILs). Multivariate analysis revealed DFS-related factors (stage, nerve invasion, major cell shape and TILs) and OS-related factors (age, stage, distant metastasis in brain, liver, bone, pleural invasion, nerve invasion, major cell shape and TILs).                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":Age&gt;65y, advanced stage (T and N), distant metastasis, nerve invasion and TILs were negatively correlated with survival. Neuroendocrine immunostaining markers showed no correlation with survival. Of interest, spindle cell type and TILs&gt;30% are revealed as independent negative prognostic factors, and further molecular mechanisms need to be explored. "
"56","Morphologic Changes Associated with Neoadjuvant-Treated Pancreatic Ductal Adenocarcinoma and Comparison of Two Tumor Regression Grading Systems.","Pancreatic ductal adenocarcinoma is aggressive, with an overall five-year survival rate of 9%, and few patients are candidates for pancreatectomy at presentation. The role of neoadjuvant therapy (NAT) is evolving, especially for high-risk potentially resectable tumors. Due to the increasing number of NAT resection specimens, we aim to characterize the histologic changes associated with NAT, and to compare two tumor regression grading schemes. 118 resections for pancreatic ductal adenocarcinoma were selected from the cases between 2011-2018, 59 not treated and 59 treated with NAT. All H&amp;E stained tumor slides were reviewed for histologic changes and graded using the four-tier modified Ryan score (recommended by College of American Pathologists) and the three-tier MD Anderson score. The histologic changes evaluated included blue/grey fibrosis, islet cell hyperplasia, dystrophic calcification, amyloid deposition, cholesterol clefts, nerve hypertrophy, elastotic stromal/vascular change, abscess formation, and eosinophilic tumor cell changes. There were statistically significant differences for dystrophic calcification, eosinophilic tumor cell changes, elastotic stromal/vascular change, islet cell hyperplasia, and nerve hypertrophy between the two groups, with these features seen more frequently in NAT cases. Blue/grey stromal fibrosis was present in all cases regardless of NAT, except few complete regression cases and one treated case with intraneural invasion only. Blue/grey fibrosis is a useful histologic visual clue to suggest the possibility of adjacent tumor in the majority of PDAC cases regardless of NAT. By Kaplan-Meier analysis, neither grading scheme correlated with overall survival in our cohort. However, the MD Anderson score was significantly correlated with both time to primary tumor recurrence (p=0.002) and time to distant recurrence (p=0.04); while the modified Ryan score did not."
"57","Hepatocellular Neoplasms Arising in Genetic Metabolic Disorders: Steatosis is Common in Both Tumor and Background Liver.","Hepatocellular neoplasms can develop in multiple genetic metabolic disorders. While there have been rare case reports, clinical and pathological characterizations have not been systematically performed. We conducted a retrospective study in 9 patients with these rare genetic metabolic disorders, including glycogen storage disease type 1, ornithine carbamyl transferase deficiency, hereditary tyrosinemia type 1, and Navajo neurohepatopathy who developed hepatocellular neoplasms. Our results show that steatosis is a common finding in both tumor (6/9 cases, 67%) and background liver parenchyma (8/9 cases, 89%), underlying a possible role for steatosis in tumorigenesis in these genetic metabolic disorders. Our findings also raise a consideration of underlying genetic metabolic disorder when young patients with hepatocellular neoplasm show steatosis in both tumor and background liver."
"58","Interaction between matrix metalloproteinase-9 (MMP-9) and neutrophil gelatinase-associated lipocalin (NGAL): a recent evolutionary event in Primates.","Matrix metalloproteases are known to represent an early step in the evolution of the immune system. Similarly, neutrophil gelatinase-associated lipocalin is known to be a key effector in immune response. MMP-9 interacts with NGAL, but their interaction mechanisms remain unclear. Functional interaction between proteins is ensured by coevolution. Protein coevolution was inferred by calculating the linear correlation coefficients between inter-protein distance matrices using MirrorTree. Among examined mammal species, we found a robust signal of MMP-9/NGAL coevolution exclusively within Primates (R=0.96, p&lt;1e-06). Owing to the high conservation of these proteins among Mammals, we chose to utilize a recent version of Blocks in Sequences (BIS2) algorithm implemented in BIS2Analyser webserver. Coevolution clusters between the two proteins were identified in MMP-9 fibronectin and hemopexin domains. Our results suggest that MMP-9/NGAL interaction is a recent evolutionary acquisition in Primates. Furthermore, MMP-9 hemopexin domain would represent a promising target for drug design against these molecules."
